Bezeichnung,Gruppenbezeichnung,Beschreibung,Anwendungsgebiet,Nennweite,Förderhöhe H max.,Baulänge,Betriebsdruck max.,Mediumtemperatur min.,Mediumtemperatur max.,Nettogewicht,EEI-Wert,bei   75°C Wassertemperatur,pro 100 m Höhe,Leistung P min.,Leistung P max.,Nennstrom min.,Nennstrom max.,Nennweite G/DN
ModulA 25-4 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",25,4,180,10,15,110,4.5,0.19,0.12,0.01,11,52,0.1,0.39,1.5
ModulA 25-6 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",25,6,180,10,15,110,4.5,0.19,0.12,0.01,12,86,0.1,0.64,1.5
ModulA 25-8 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",25,8,180,10,15,110,4.5,0.19,0.12,0.01,11,120,0.1,0.91,1.5
ModulA 25-10 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",25,10,180,10,15,110,4.5,0.19,0.12,0.01,11,158,0.1,1.24,1.5
ModulA 25-12 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",25,12,180,10,15,110,4.5,0.19,0.12,0.01,11,188,0.1,1.47,1.5
ModulA 32-4 170 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,4,170,10,15,110,4.7,0.18,0.12,0.01,11,70,0.1,0.5,2
ModulA 32-6 170 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,6,170,10,15,110,4.7,0.18,0.12,0.01,11,105,0.1,0.79,2
ModulA 32-8 170 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,8,170,10,15,110,4.7,0.18,0.12,0.01,11,139,0.1,1.03,2
ModulA 32-10 170 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,10,170,10,15,110,4.7,0.18,0.12,0.01,11,175,0.1,1.35,2
ModulA 32-12 170 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,12,170,10,15,110,4.7,0.18,0.92,0.01,11,187,0.1,1.45,2
