Bezeichnung,Gruppenbezeichnung,Beschreibung,Anwendungsgebiet,Nennweite,Förderhöhe H max.,Baulänge,Betriebsdruck max.,Mediumtemperatur min.,Mediumtemperatur max.,Nettogewicht,EEI-Wert,bei   75°C Wassertemperatur,pro 100 m Höhe,Leistung P min.,Leistung P max.,Nennstrom min.,Nennstrom max.,Nennweite G/DN
ModulA 40-10 220 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,10,220,16,15,110,16.3,0.19,0.12,0.01,18,341,0.19,1.54,40
ModulA 40-12 250 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,12,250,16,15,110,16.1,0.18,0.12,0.01,17,421,0.18,1.91,40
ModulA 40-18 250 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,18,250,16,15,110,16.1,0.18,0.12,0.01,16,594,0.18,2.63,40
ModulA 50-6 240 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,6,240,16,15,110,17.6,0.19,0.12,0.01,21,236,0.21,1.09,50
ModulA 50-6 270 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,6,270,16,15,110,18.1,0.19,0.12,0.01,21,236,0.21,1.09,50
ModulA 50-8 240 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,8,240,16,15,110,17.6,0.18,0.12,0.01,22,315,0.21,1.42,50
ModulA 50-11 220 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,11,220,16,15,110,8.8,0.19,0.12,0.01,13,187,0.11,1.45,50
ModulA 50-12 270 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,12,270,16,15,110,18.1,0.18,0.12,0.01,20,516,0.21,2.32,50
ModulA 50-18 270 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,18,270,16,15,110,18.8,0.17,0.22,0.01,22,742,0.21,3.34,50
ModulA 65-8 270 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,8,270,16,15,110,20.6,0.17,0.22,0.01,22,464,0.24,2.1,65
ModulA 65-8 340 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,12,340,16,15,110,20.6,0.17,0.22,0.01,22,464,0.24,2.1,65
ModulA 65-12 340 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,12,340,16,15,110,21.5,0.17,0.12,0.01,21,736,0.22,3.32,65
ModulA 65-15 340 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,15,340,16,15,110,24,0.17,0.42,0.01,30,1254,0.28,5.68,65
ModulA 80-8 360 RED PN6,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,8,360,6,15,110,29.1,0.17,0.52,0.01,29,704,0.29,3.08,80
ModulA 80-8 360 RED PN10/16,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,8,360,16,15,110,29.1,0.17,0.52,0.01,29,704,0.29,3.08,80
ModulA 80-12 360 RED PN6,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,12,360,6,15,110,29.1,0.17,0.52,0.01,35,1282,0.32,5.56,80
ModulA 80-12 360 RED PN10/16,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,12,360,16,15,110,29.1,0.17,0.52,0.01,35,1282,0.32,5.56,80
ModulA 100-12 450 RED PN6,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",100,12,450,6,15,110,34,0.17,0.52,0.01,35,1563,0.32,6.78,100
ModulA 100-12 450 RED PN10/16,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",100,12,450,16,15,110,34,0.17,0.52,0.01,35,1563,0.32,6.78,100
ModulA-D 32-6 180 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,6,180,10,15,110,11.1,0.18,0.12,0.01,11,105,0.1,0.79,2
ModulA-D 32-8 180 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,8,180,10,15,110,11.1,0.18,0.12,0.01,11,139,0.1,1.03,2
ModulA-D 32F-6 220 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,6,220,6,15,110,13.4,0.18,0.12,0.01,11,105,0.1,0.79,32
ModulA-D 32F-12 220 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,12,220,16,15,110,30.6,0.18,0.92,0.01,16,328,0.17,1.5,32
ModulA-D 40-6 220 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,6,220,16,15,110,18.7,0.19,0.12,0.01,16,171,0.13,1.34,40
ModulA-D 40-8 220 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,8,220,16,15,110,31,0.19,0.12,0.01,20,268,0.2,1.21,40
ModulA-D 40-10 220 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,10,220,16,15,110,31,0.19,0.12,0.01,18,341,0.19,1.54,40
ModulA-D 40-12 250 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,12,250,16,15,110,32,0.18,0.12,0.01,17,421,0.18,1.91,40
ModulA-D 40-18 250 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,18,250,16,15,110,32,0.18,0.12,0.01,16,594,0.18,2.63,40
ModulA-D 50-6 240 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,6,240,16,15,110,35,0.18,0.12,0.01,21,236,0.21,1.09,50
ModulA-D 50-8 240 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,8,240,16,15,110,35,0.18,0.12,0.01,22,315,0.21,1.42,50
ModulA-D 50-12 270 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,12,270,16,15,110,36,0.18,0.12,0.01,20,516,0.21,2.32,50
ModulA-D 50-18 270 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",50,18,270,16,15,110,36,0.17,0.22,0.01,22,742,0.21,3.34,50
ModulA-D 65-8 340 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,8,340,16,15,110,42,0.17,0.22,0.01,22,464,0.24,2.1,65
ModulA-D 65-12 340 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,12,340,16,15,110,42,0.17,0.12,0.01,21,736,0.22,3.32,65
ModulA-D 65-15 340 RED,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",65,15,340,16,15,110,48,0.17,0.9,0.01,30,1254,0.28,5.68,65
ModulA-D 80-8 360 RED PN6,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,8,360,6,15,110,58,0.17,0.52,0.01,29,704,0.29,3.08,80
ModulA-D 80-8 360 RED PN10/16,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,8,360,16,15,110,58,0.17,0.52,0.01,29,704,0.29,3.08,80
ModulA-D 80-12 360 RED PN6,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,12,360,6,15,110,58,0.17,0.9,0.01,35,1282,0.32,5.56,80
ModulA-D 80-12 360 RED PN10/16,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",80,12,360,16,15,110,58,0.17,0.9,0.01,35,1282,0.32,5.56,80
ModulA-D 100-12 450 RED PN6,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",100,12,450,6,15,110,68,0.17,0.9,0.01,35,1563,0.32,6.78,100
ModulA-D 100-12 450 RED PN10/16,RED,Die ModulA-D ist ausgelegt für den Reserve- oder Wechselbetrieb und gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit. ,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",100,12,450,16,15,110,68,0.17,0.9,0.01,35,1563,0.32,6.78,100
AX 10 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,3,170,10,15,110,2.3,0.19,0.05,0.01,4,21,0.05,0.18,2
AX 10-1 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,3,180,10,15,110,2.3,0.19,0.05,0.01,4,21,0.05,0.18,1.5
AX 12 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,4,170,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,2
AX 12-1 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,4,180,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,1.5
AX 12-2 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,4,180,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,2
AX 12-3 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,4,130,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,1.5
AX 12-4 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",15,4,130,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,1
AX 13 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,6,170,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,2
AX 13-1 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
AX 13-2 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,2
AX 13-3 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,6,130,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
AX 13-4 RED¨,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",15,6,130,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1
AX 12-1 BZ RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.",Flächenheizungen im Einfamilienhaus,32,3,180,10,15,110,2.3,0.21,0.05,0.01,5,22,0.05,0.19,1.5
AX 13-1 BZ RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.",Flächenheizungen im Einfamilienhaus,25,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
AX 15-4 130 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",15,4,130,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,1
AX 15-6 130 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",15,6,130,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1
AX 25-4 130 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,4,130,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,1.5
AX 25-6 130 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,6,130,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
AX 25-3 180 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,3,180,10,15,110,2.3,0.19,0.05,0.01,4,21,0.05,0.18,1.5
AX 25-4 180 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,4,180,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,1.5
AX 25-6 180 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",25,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
AX 32-3 170 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,3,170,10,15,110,2.3,0.19,0.05,0.01,4,21,0.05,0.18,2
